artifact_class,original_path,baseline_path,release_path,included,reason,source_sha256,release_sha256,transformation_applied
core software,mtagent/agent_escalation.py,snapshot/mtagent/agent_escalation.py,mtagent/agent_escalation.py,true,approved manuscript-release artifact,36546231588d853b16d35e439107983902b866fd9e2f9f433349ed010be0c1d4,36546231588d853b16d35e439107983902b866fd9e2f9f433349ed010be0c1d4,copied unchanged
core software,mtagent/analyze_gcmc_equilibrium_restart.py,snapshot/mtagent/analyze_gcmc_equilibrium_restart.py,mtagent/analyze_gcmc_equilibrium_restart.py,true,approved manuscript-release artifact,62105a76c7c95a8e925752013ab623a5a9db7e22b07e127f72bf903dfc13ae73,62105a76c7c95a8e925752013ab623a5a9db7e22b07e127f72bf903dfc13ae73,copied unchanged
core software,mtagent/archive_rh_result.py,snapshot/mtagent/archive_rh_result.py,mtagent/archive_rh_result.py,true,approved manuscript-release artifact,cdee92f7e5b9ac5ce815be2b6202dc181f5a93414f0031db55fbd0898931942f,cdee92f7e5b9ac5ce815be2b6202dc181f5a93414f0031db55fbd0898931942f,copied unchanged
core software,mtagent/campaign_manager.py,snapshot/mtagent/campaign_manager.py,mtagent/campaign_manager.py,true,approved manuscript-release artifact,2ec81fb752874ad014db5fd3293f1c072a983c9a9fe646787f94ba1142006f93,2ec81fb752874ad014db5fd3293f1c072a983c9a9fe646787f94ba1142006f93,copied unchanged
core software,mtagent/campaign_status.py,snapshot/mtagent/campaign_status.py,mtagent/campaign_status.py,true,approved manuscript-release artifact,b6bfc70f69778349b9ca0847d8dd16b844629c977d94b11a4014c458561b317e,b6bfc70f69778349b9ca0847d8dd16b844629c977d94b11a4014c458561b317e,copied unchanged
core software,mtagent/campaign_summary.py,snapshot/mtagent/campaign_summary.py,mtagent/campaign_summary.py,true,approved manuscript-release artifact,32e8f11c050e7f81b373138503f97c2e73717a98b83999b2380ba944af2dd6e5,32e8f11c050e7f81b373138503f97c2e73717a98b83999b2380ba944af2dd6e5,copied unchanged
core software,mtagent/clean_run_dir.py,snapshot/mtagent/clean_run_dir.py,mtagent/clean_run_dir.py,true,approved manuscript-release artifact,72e5623ace4f9fea1d39f23a12f157390003d52ec77689bb3578de4548b284d7,72e5623ace4f9fea1d39f23a12f157390003d52ec77689bb3578de4548b284d7,copied unchanged
core software,mtagent/diagnose_run.py,snapshot/mtagent/diagnose_run.py,mtagent/diagnose_run.py,true,approved manuscript-release artifact,b7af83a59e198a20f0a4c8b995ff82a157dea37ceee24ba7d43a963e484ec85f,b7af83a59e198a20f0a4c8b995ff82a157dea37ceee24ba7d43a963e484ec85f,copied unchanged
core software,mtagent/generate_gcmc_input.py,snapshot/mtagent/generate_gcmc_input.py,mtagent/generate_gcmc_input.py,true,approved manuscript-release artifact,97fae7f658534fd8f9a72e29fac1ff90dd099f4750d4e2efcd7e3358d9ea184a,97fae7f658534fd8f9a72e29fac1ff90dd099f4750d4e2efcd7e3358d9ea184a,copied unchanged
core software,mtagent/local_runner.py,snapshot/mtagent/local_runner.py,mtagent/local_runner.py,true,approved manuscript-release artifact,48311410729205cf0383f0fbc5ed47ff37c7e265b109f226e09967fd5c5e5bbc,48311410729205cf0383f0fbc5ed47ff37c7e265b109f226e09967fd5c5e5bbc,copied unchanged
core software,mtagent/paper_batch.py,snapshot/mtagent/paper_batch.py,mtagent/paper_batch.py,true,approved manuscript-release artifact,eb3d0cb42c20a6667609f9a209ab858376080837a8fbb3b27e414d6f1ed4b4bd,eb3d0cb42c20a6667609f9a209ab858376080837a8fbb3b27e414d6f1ed4b4bd,copied unchanged
core software,mtagent/plan_campaign.py,snapshot/mtagent/plan_campaign.py,mtagent/plan_campaign.py,true,approved manuscript-release artifact,2bfc6ce824415d7fd7a9ee7a186ea969bf99229a7505051aaeb86c52abdad126,2bfc6ce824415d7fd7a9ee7a186ea969bf99229a7505051aaeb86c52abdad126,copied unchanged
core software,mtagent/plan_claycode_inputs.py,snapshot/mtagent/plan_claycode_inputs.py,mtagent/plan_claycode_inputs.py,true,approved manuscript-release artifact,bec0673fd69cac02eb7038b225b0e79b1ecbe4e2f1100ef92f3ec1cc71015893,bec0673fd69cac02eb7038b225b0e79b1ecbe4e2f1100ef92f3ec1cc71015893,copied unchanged
core software,mtagent/prepare_case.py,snapshot/mtagent/prepare_case.py,mtagent/prepare_case.py,true,approved manuscript-release artifact,8c2abf9cea53a5bd113c593976c7444fbffe5f6338139558f3352d0993a82407,8c2abf9cea53a5bd113c593976c7444fbffe5f6338139558f3352d0993a82407,copied unchanged
core software,mtagent/run_campaign.py,snapshot/mtagent/run_campaign.py,mtagent/run_campaign.py,true,approved manuscript-release artifact,abfafdf9c410552437bd718c8fdbb981c0227d063c55ee14576066793f12f18b,abfafdf9c410552437bd718c8fdbb981c0227d063c55ee14576066793f12f18b,copied unchanged
core software,mtagent/run_claycode.py,snapshot/mtagent/run_claycode.py,mtagent/run_claycode.py,true,approved manuscript-release artifact,3bad82e6fd91c8c02efbb87291da8acc1c66153fde73ef537a3a70701a3f19c8,3bad82e6fd91c8c02efbb87291da8acc1c66153fde73ef537a3a70701a3f19c8,copied unchanged
core software,mtagent/run_cycle.py,snapshot/mtagent/run_cycle.py,mtagent/run_cycle.py,true,approved manuscript-release artifact,9f635ac71dd361059f3e8e6c5569b616f2cade488f3f2445ff97241f3028bee5,9f635ac71dd361059f3e8e6c5569b616f2cade488f3f2445ff97241f3028bee5,copied unchanged
core software,mtagent/run_equilibrate.py,snapshot/mtagent/run_equilibrate.py,mtagent/run_equilibrate.py,true,approved manuscript-release artifact,2339bee562129b87194f89555710dd774511c4bac180837d377a7df4a69e44f4,2339bee562129b87194f89555710dd774511c4bac180837d377a7df4a69e44f4,copied unchanged
core software,mtagent/run_initial.py,snapshot/mtagent/run_initial.py,mtagent/run_initial.py,true,approved manuscript-release artifact,389ca1c1bf431170fede150340fe2ba109f10051613d9ef24c26694505276f17,389ca1c1bf431170fede150340fe2ba109f10051613d9ef24c26694505276f17,copied unchanged
core software,mtagent/start_next_rh.py,snapshot/mtagent/start_next_rh.py,mtagent/start_next_rh.py,true,approved manuscript-release artifact,d6b191a5c5218a3881db78d2e300990ff93c872eafcc9c761618d0086fd9abe0,d6b191a5c5218a3881db78d2e300990ff93c872eafcc9c761618d0086fd9abe0,copied unchanged
core software,mtagent/workflow_report.py,snapshot/mtagent/workflow_report.py,mtagent/workflow_report.py,true,approved manuscript-release artifact,7962e664d10b06f19ceb108221b1ee80c0a4d1e6ba1de078d459089476929480,7962e664d10b06f19ceb108221b1ee80c0a4d1e6ba1de078d459089476929480,copied unchanged
tests,tests/conftest.py,snapshot/tests/conftest.py,tests/conftest.py,true,approved manuscript-release artifact,d0a5179e44e0206108b1fd09e2ecc8c792aae09903c85a3cd4cbf4aaf2335bd9,d0a5179e44e0206108b1fd09e2ecc8c792aae09903c85a3cd4cbf4aaf2335bd9,copied unchanged
tests,tests/test_agent_escalation.py,snapshot/tests/test_agent_escalation.py,tests/test_agent_escalation.py,true,approved manuscript-release artifact,965417a3313ee73e179d4707a7f31fc3c51496d1d2ae1ff0972b255703b28de2,965417a3313ee73e179d4707a7f31fc3c51496d1d2ae1ff0972b255703b28de2,copied unchanged
tests,tests/test_archive_rh_result.py,snapshot/tests/test_archive_rh_result.py,tests/test_archive_rh_result.py,true,approved manuscript-release artifact,b9bec0266a7426d1d55b62a7fe5f9a9025fcc72a00127308922d07de4730f94a,b9bec0266a7426d1d55b62a7fe5f9a9025fcc72a00127308922d07de4730f94a,copied unchanged
tests,tests/test_campaign_manager.py,snapshot/tests/test_campaign_manager.py,tests/test_campaign_manager.py,true,approved manuscript-release artifact,09c38cd246cd905c62ec1659803d4c6a2b920edbabd17cca19f51c5d930f1743,09c38cd246cd905c62ec1659803d4c6a2b920edbabd17cca19f51c5d930f1743,copied unchanged
tests,tests/test_campaign_status.py,snapshot/tests/test_campaign_status.py,tests/test_campaign_status.py,true,approved manuscript-release artifact,9c81026df3d861573c72dcfea0744962a9da70f50d78adde3e9a89e9f411ba67,7a7c64fe6172d8630996224652ae7837a805892bc4632d07f8e16b4c2f5633ea,transformed
tests,tests/test_campaign_summary.py,snapshot/tests/test_campaign_summary.py,tests/test_campaign_summary.py,true,approved manuscript-release artifact,b2dbbad021dc3743bcfd47c7eb54ec39173164b8d30e221fba966ee6e3b845f2,b2dbbad021dc3743bcfd47c7eb54ec39173164b8d30e221fba966ee6e3b845f2,copied unchanged
tests,tests/test_diagnose_run.py,snapshot/tests/test_diagnose_run.py,tests/test_diagnose_run.py,true,approved manuscript-release artifact,6b7edba029f05615c6b9e121083c1b4f056e9c6c52075f47c4b814bf7b3d1447,6b7edba029f05615c6b9e121083c1b4f056e9c6c52075f47c4b814bf7b3d1447,copied unchanged
tests,tests/test_generate_gcmc_input.py,snapshot/tests/test_generate_gcmc_input.py,tests/test_generate_gcmc_input.py,true,approved manuscript-release artifact,3ff9bd2414cf1d6e08174c5faaec5257623cfb9a707af84002db68a8adc6202d,3ff9bd2414cf1d6e08174c5faaec5257623cfb9a707af84002db68a8adc6202d,copied unchanged
tests,tests/test_gro_clayff_converter.py,snapshot/tests/test_gro_clayff_converter.py,tests/test_gro_clayff_converter.py,true,approved manuscript-release artifact,747d10cfa180068f61be196f6a6e8fd0c3b8600365ada547b86b34f833c20eeb,f77c8b65274783fa2ebd60ae6a675ff2de3d1b067b6fac9ce0239dd00733252d,transformed
tests,tests/test_molecule_id_normalization.py,snapshot/tests/test_molecule_id_normalization.py,tests/test_molecule_id_normalization.py,true,approved manuscript-release artifact,20331be2e9a05c2b3c81e83d6f529c045b7d50408ca6b644db5c74e82fbf4f4b,b82cc48a53369ab9a73e5db23c0bc319566c6da52567cec31dca21d3821669f8,transformed
tests,tests/test_paper_batch.py,snapshot/tests/test_paper_batch.py,tests/test_paper_batch.py,true,approved manuscript-release artifact,e395d82a25da4e8d5b79683e27374c0f93995b7a41cf2c5f8463699c33c639cd,e395d82a25da4e8d5b79683e27374c0f93995b7a41cf2c5f8463699c33c639cd,copied unchanged
tests,tests/test_plan_campaign.py,snapshot/tests/test_plan_campaign.py,tests/test_plan_campaign.py,true,approved manuscript-release artifact,239897b49d9dcf6fa9cedeeb214687c560216bcb84308b8fe104612b1eb25820,239897b49d9dcf6fa9cedeeb214687c560216bcb84308b8fe104612b1eb25820,copied unchanged
tests,tests/test_plan_claycode_inputs.py,snapshot/tests/test_plan_claycode_inputs.py,tests/test_plan_claycode_inputs.py,true,approved manuscript-release artifact,a39be2267d13432975a647ef8c169c93e2068e7abc821fd9e18472b4119f6d27,a39be2267d13432975a647ef8c169c93e2068e7abc821fd9e18472b4119f6d27,copied unchanged
tests,tests/test_prepare_case.py,snapshot/tests/test_prepare_case.py,tests/test_prepare_case.py,true,approved manuscript-release artifact,6cdb4056eff84c118c4f3225f4f0de52d235067a1b7addd3ed9b7590856b9a54,6cdb4056eff84c118c4f3225f4f0de52d235067a1b7addd3ed9b7590856b9a54,copied unchanged
tests,tests/test_rh_and_restart_selection.py,snapshot/tests/test_rh_and_restart_selection.py,tests/test_rh_and_restart_selection.py,true,approved manuscript-release artifact,0ed8383f6deac23c69459ad8676b3213745e923833146a80f31c9cd010e6349a,0ed8383f6deac23c69459ad8676b3213745e923833146a80f31c9cd010e6349a,copied unchanged
tests,tests/test_run_campaign.py,snapshot/tests/test_run_campaign.py,tests/test_run_campaign.py,true,approved manuscript-release artifact,7e9b4f30f3592a115378fecc841c5bd4bf5aaf2333479caf720921afb4e0688f,7e9b4f30f3592a115378fecc841c5bd4bf5aaf2333479caf720921afb4e0688f,copied unchanged
tests,tests/test_run_claycode.py,snapshot/tests/test_run_claycode.py,tests/test_run_claycode.py,true,approved manuscript-release artifact,006ba843ebe8e50ebe1fa12e497a256bf955c80a7668e5b9673da81ed96dadb7,006ba843ebe8e50ebe1fa12e497a256bf955c80a7668e5b9673da81ed96dadb7,copied unchanged
tests,tests/test_run_cycle_dry_run.py,snapshot/tests/test_run_cycle_dry_run.py,tests/test_run_cycle_dry_run.py,true,approved manuscript-release artifact,79d5517d0d922f0d9328c2819896fe13d1ed4cff27b96bcaab7589f8b8250dcd,79d5517d0d922f0d9328c2819896fe13d1ed4cff27b96bcaab7589f8b8250dcd,copied unchanged
